Data_Lancamento;Data_Competencia;Data_Vencimento;Data_Pagamento;Filial;Tipo_Lancamento;Sintetica;Analitica;Detalhada;Observacao;Fornecedor/Cliente;Centro_Custo;Conta;Forma_Pag/Rec;Valor_Original;Valor_Multa;Valor_Juros;Valor_Acrescimo;Valor_Desconto;Valor_Pago/Recebido;Status;Conciliado;Cod;
05/06/2025;01/04/2025;01/04/2025;01/04/2025;FUJI ALDEOTA;Despesa;10 - DESPESAS FINANCEIRAS;10.4 - TARIFAS PIX - ENVIADO;;;BANCO SANTANDER (BRASIL) S.A.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;DÉBITO;R$18,65;;;;;-R$18,65;Liquidado;Sim;RS1749150500004;
05/06/2025;03/06/2025;17/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;BRASIL SEAFOOD INDUSTRIA - JAPA DA OSTRA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.475,32;;;;;;A vencer;Não;QEGBO;
05/06/2025;02/06/2025;18/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;; VIA LACTEA COMERCIO E REPRESENTACOES LTDA;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;BOLETO;R$1.054,52;;;;;;A vencer;Não;JH8WQ;
05/06/2025;31/05/2025;14/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.1 - BEBIDAS ALCOÓLICAS;;DONIZETE DISTRIBUIDORA DE ALIMENTOS S/A;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;BOLETO;R$278,80;;;;;;A vencer;Não;FQUVW;
05/06/2025;03/06/2025;17/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$1.583,07;;;;;;A vencer;Não;VFUYP;
05/06/2025;03/06/2025;24/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;MIRAY COMERCIO DE PEIXEIS E PRODUTOS ORIENTAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$2.271,23;;;;;;A vencer;Não;NB5H1;
05/06/2025;02/06/2025;20/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$404,48;;;;;;A vencer;Não;A17SN;
05/06/2025;30/05/2025;17/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$873,89;;;;;;A vencer;Não;VRVIA;
05/06/2025;04/06/2025;16/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.11 - DESPESAS DIVERSAS;;;ASSOCIACAO BRASILEIRA DE BARES E RESTAURANTES - ABRASEL-CE;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$155,00;;;;;;A vencer;Não;W3RJJ;
05/06/2025;04/06/2025;11/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.1 - BEBIDAS ALCOÓLICAS;;HNK BR INDUSTRIA DE BEBIDAS LTDA.;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$730,99;;;;;;A vencer;Não;0YUWW;
04/06/2025;02/06/2025;10/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.3 - SOBREMESAS;;EMPORIO BORWNIE;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$550,10;;;;;;A vencer;Não;816VD;
04/06/2025;02/06/2025;10/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.3 - SOBREMESAS;;EMPORIO BORWNIE;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$542,80;;;;;;A vencer;Não;PEJ0I;
04/06/2025;03/06/2025;05/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.1 - ALUGUEL;6.1.1 - CONDOMÍNIO;;c mendes imoveis ltda me;DESPESAS FIXAS;SANTANDER - FUJI CAMBEBA;BOLETO;R$16.254,23;;;;;;A vencer;Não;8F0XF;
04/06/2025;31/05/2025;10/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.19 - INTERNET BANDA LARGA;;;CLARO BANDA LARGA ;DESPESAS FIXAS;SANTANDER - FUJI CAMBEBA;BOLETO;R$264,88;;;;;;A vencer;Não;BDQ3A;
04/06/2025;29/05/2025;05/06/2025;;LEONARDO;Despesa;05 - DESPESAS COM PESSOAL;5.10 - PRO LABORE;;;ALARES;DESPESA COM PESSOAL;LEONARDO PERESTRELO;BOLETO;R$97,77;;;;;;A vencer;Não;BT771;
04/06/2025;30/05/2025;25/06/2025;;FUJI ALDEOTA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.11 - DESPESAS DIVERSAS;;;UNIMED FORTALEZA;DESPESA COM PESSOAL;LEONARDO PERESTRELO;BOLETO;R$949,83;;;;;;A vencer;Não;M2IDC;
04/06/2025;24/05/2025;10/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.7 - DEDETIZACAO;;;RIVA DETETIZAÇÃO;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$590,00;;;;;;A vencer;Não;9X1BH;
04/06/2025;02/06/2025;09/06/2025;;FUJI ALDEOTA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.16 - ALARME;;;ALL TECH SEGURANCA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$9,48;;;;;;A vencer;Não;5F29U;
04/06/2025;28/05/2025;10/06/2025;;LEONARDO;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.11 - DESPESAS DIVERSAS;;;ARVOREDO CONDOMINIO CLUBE;DESPESA COM PESSOAL;LEONARDO PERESTRELO;BOLETO;R$2.148,53;;;;;;A vencer;Não;8VF08;
04/06/2025;03/06/2025;17/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.690,52;;;;;;A vencer;Não;ZWXVH;
03/06/2025;27/05/2025;28/05/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;CARPA ALIMENTOS;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;BOLETO;R$742,40;;;;;;Vencido;Não;ZXBR6;
03/06/2025;27/05/2025;17/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.2 - DESCARTAVEIS;3.2.1 - EMBALAGENS PAPEL;;K YEN INDUSTRIA E COMERCIO;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$2.900,00;;;;;;A vencer;Não;WIYXO;
03/06/2025;29/05/2025;30/05/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.3 - SOBREMESAS;;EMPORIO BORWNIE;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$364,30;;;;;;Vencido;Não;IETFV;
03/06/2025;07/05/2025;10/06/2025;;FUJI ALDEOTA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.16 - ALARME;;;ALL TECH SEGURANCA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$263,00;;;;;;A vencer;Não;6CEJB;
03/06/2025;30/05/2025;30/05/2025;30/05/2025;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;META ACOUGUE;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;PIX;R$540,13;;;;;-R$540,13;Liquidado;Não;AM50B;
03/06/2025;21/05/2025;21/05/2025;21/05/2025;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;META ACOUGUE;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;PIX;R$1.072,42;;;;;-R$1.072,42;Liquidado;Não;XYXIV;
03/06/2025;22/05/2025;22/05/2025;22/05/2025;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;META ACOUGUE;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;PIX;R$424,80;;;;;-R$424,80;Liquidado;Não;F6FK7;
03/06/2025;13/05/2025;23/05/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$1.124,15;;;;;;Vencido;Não;9ZVQY;
03/06/2025;27/05/2025;06/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$451,00;;;;;;A vencer;Não;NF3KA;
03/06/2025;28/05/2025;28/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.2 - DESCARTAVEIS;3.2.2 - EMBALAGENS PLÁSTICAS;;COMERICAL MAB LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$368,17;;;;;;A vencer;Não;ORKD3;
03/06/2025;28/05/2025;12/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;; VIA LACTEA COMERCIO E REPRESENTACOES LTDA;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;BOLETO;R$544,22;;;;;;A vencer;Não;1Y1YU;
03/06/2025;29/05/2025;26/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;OPÇÃO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;BOLETO;R$298,82;;;;;;A vencer;Não;8K7LD;
03/06/2025;29/05/2025;19/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;OPÇÃO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;PRODUÇÃO;SANTANDER - FUJI CAMBEBA;BOLETO;R$298,82;;;;;;A vencer;Não;OW1L0;
03/06/2025;29/05/2025;12/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.1 - BEBIDAS ALCOÓLICAS;;D ORIGEM;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$91,36;;;;;;A vencer;Não;SPFIV;
03/06/2025;28/05/2025;28/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.2 - DESCARTAVEIS;3.2.2 - EMBALAGENS PLÁSTICAS;;COMERICAL MAB LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$537,79;;;;;;A vencer;Não;VFHDE;
03/06/2025;28/05/2025;11/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$2.806,08;;;;;;A vencer;Não;EWT35;
03/06/2025;26/05/2025;23/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.11 - DESPESAS DIVERSAS;;;INDAIA BRASIL AGUAS MINERAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$199,75;;;;;;A vencer;Não;NEMWJ;
03/06/2025;28/05/2025;03/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;DANIEL'S BAKERY PANIFICADORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$110,69;;;;;;Vencido;Não;KNXZE;
03/06/2025;29/05/2025;12/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;BRASIL SEAFOOD INDUSTRIA - JAPA DA OSTRA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$2.791,01;;;;;;A vencer;Não;TNJCY;
03/06/2025;30/05/2025;20/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;MIRAY COMERCIO DE PEIXEIS E PRODUTOS ORIENTAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$1.455,40;;;;;;A vencer;Não;UWD7S;
03/06/2025;29/05/2025;16/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.285,16;;;;;;A vencer;Não;FNCXD;
03/06/2025;03/06/2025;12/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;BRASIL SEAFOOD INDUSTRIA - JAPA DA OSTRA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.406,62;;;;;;A vencer;Não;TE8I4;
03/06/2025;26/05/2025;10/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.2 - BEBIDAS NÃO ALCOÓLICAS;;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;BOLETO;R$675,36;;;;;;A vencer;Não;JGRA9;
03/06/2025;26/05/2025;09/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.1 - PROTEÍNAS;;BRASIL SEAFOOD INDUSTRIA - JAPA DA OSTRA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$2.827,51;;;;;;A vencer;Não;FQVIS;
03/06/2025;02/06/2025;20/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.397,21;;;;;;A vencer;Não;YFOAI;
03/06/2025;03/06/2025;20/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPO VERDE DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$88,17;;;;;;A vencer;Não;98XRM;
03/06/2025;30/05/2025;14/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.2 - BEBIDAS NÃO ALCOÓLICAS;;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;BOLETO;R$707,52;;;;;;A vencer;Não;D0I0J;
03/06/2025;27/05/2025;24/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.1 - BEBIDAS ALCOÓLICAS;;D ORIGEM;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$1.456,70;;;;;;A vencer;Não;Y9MVJ;
03/06/2025;27/05/2025;17/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;MIRAY COMERCIO DE PEIXEIS E PRODUTOS ORIENTAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$214,71;;;;;;A vencer;Não;6VRTA;
03/06/2025;30/05/2025;30/06/2025;;FUJI ALDEOTA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.4 - MATERIAL DE LIMPEZA;;;WT DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$366,27;;;;;;A vencer;Não;ZVHPM;
03/06/2025;29/05/2025;26/06/2025;;FUJI ALDEOTA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.11 - DESPESAS DIVERSAS;;;INDAIA BRASIL AGUAS MINERAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$384,85;;;;;;A vencer;Não;WQZLN;
03/06/2025;30/05/2025;27/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.1 - BEBIDAS ALCOÓLICAS;;D ORIGEM;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.928,24;;;;;;A vencer;Não;RZCDP;
03/06/2025;30/05/2025;20/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;MIRAY COMERCIO DE PEIXEIS E PRODUTOS ORIENTAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.663,00;;;;;;A vencer;Não;UQ7SD;
03/06/2025;26/05/2025;25/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.4 - MATERIAL DE LIMPEZA;;;TALIMPINHO COMERCIAL LTDA EPP;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$407,78;;;;;;A vencer;Não;DBCTZ;
03/06/2025;02/06/2025;23/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;MIRAY COMERCIO DE PEIXEIS E PRODUTOS ORIENTAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.699,30;;;;;;A vencer;Não;V7MCZ;
03/06/2025;26/05/2025;16/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;MIRAY COMERCIO DE PEIXEIS E PRODUTOS ORIENTAIS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$1.183,86;;;;;;A vencer;Não;NCJK3;
03/06/2025;03/06/2025;07/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPACHI DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$572,41;;;;;;A vencer;Não;O1LZ6;
02/06/2025;27/05/2025;17/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;OPÇÃO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.522,70;;;;;;A vencer;Não;ID7D7;
02/06/2025;27/05/2025;24/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;OPÇÃO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.522,70;;;;;;A vencer;Não;1NHTZ;
02/06/2025;20/05/2025;17/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;OPÇÃO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$708,43;;;;;;A vencer;Não;XDR4R;
02/06/2025;20/05/2025;10/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;OPÇÃO DISTRIBUIDORA DE ALIMENTOS E BEBIDAS;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$708,43;;;;;;A vencer;Não;Y6CSP;
02/06/2025;31/05/2025;12/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.1 - BEBIDAS ALCOÓLICAS;;AMBEV -CRBS;PRODUÇÃO;SANTANDER - FUJI ALDEOTA;BOLETO;R$705,08;;;;;;A vencer;Não;M02CH;
27/05/2025;21/05/2025;25/05/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.2 - BEBIDAS NÃO ALCOÓLICAS;;SOLAR COCA COLA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$327,34;;;;;;Vencido;Não;FZNYP;
27/05/2025;27/05/2025;26/06/2025;;FUJI ALDEOTA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.4 - MATERIAL DE LIMPEZA;;;TALIMPINHO COMERCIAL LTDA EPP;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.031,33;;;;;;A vencer;Não;4BGMC;
27/05/2025;21/05/2025;05/06/2025;;FUJI CAMBEBA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.3 - HORTIFRUTI;;CAMPACHI DISTRIBUIDORA;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$96,00;;;;;;A vencer;Não;L9SQO;
27/05/2025;22/05/2025;20/06/2025;;FUJI CAMBEBA;Despesa;06 - DESPESAS ADMINISTRATIVAS;6.4 - MATERIAL DE LIMPEZA;;;TALIMPINHO COMERCIAL LTDA EPP;DESPESAS VARIÁVEIS;SANTANDER - FUJI CAMBEBA;BOLETO;R$624,70;;;;;;A vencer;Não;PU3W2;
27/05/2025;20/05/2025;03/06/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.1 - INSUMOS;3.1.2 - DEMAIS INSUMOS;;SOLMAR DISTRIBUIDORA DE ALIMENTOS LTDA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$1.494,35;;;;;;Vencido;Não;CKTO7;
27/05/2025;20/05/2025;25/05/2025;;FUJI ALDEOTA;Despesa;03 - C.M.V;3.4 - PRODUTOS;3.4.2 - BEBIDAS NÃO ALCOÓLICAS;;SOLAR COCA COLA;DESPESAS VARIÁVEIS;SANTANDER - FUJI ALDEOTA;BOLETO;R$78,00;;;;;;Vencido;Não;UDGCT;
